Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 32.13      1.42     1.42     1024     1.39     2.50  mutacion(std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >&)
 22.85      2.43     1.01     1024     0.99     1.25  calculo_fitness(std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >&)
  8.48      2.81     0.38 134611200     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&)
  6.33      3.08     0.28 224670156     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned int)
  4.75      3.29     0.21     1024     0.21     0.49  crossover(std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >&, std::vector<int, std::allocator<int> >&)
  4.64      3.50     0.20 269484324     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::base() const
  4.07      3.68     0.18 134348800     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::operator++()
  3.73      3.85     0.17 224143820     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned int)
  2.94      3.98     0.13 135659283     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator(char* const&)
  2.49      4.08     0.11 134873600     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::operator*() const
  2.38      4.19     0.10 134873097     0.00     0.00  std::vector<char, std::allocator<char> >::end()
  1.02      4.24     0.04 45487334     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.57      4.26     0.03     1025     0.02     0.02  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::~vector()
  0.45      4.28     0.02 26976715     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::operator*() const
  0.45      4.30     0.02   526336     0.00     0.00  std::vector<char, std::allocator<char> >::capacity() const
  0.34      4.32     0.01   529922     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::base() const
  0.23      4.33     0.01  1573888     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::__normal_iterator(char const* const&)
  0.23      4.33     0.01  1573888     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.23      4.34     0.01   786944     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.23      4.36     0.01   524288     0.00     0.00  std::vector<char, std::allocator<char> >::operator=(std::vector<char, std::allocator<char> > const&)
  0.23      4.37     0.01   263683     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.23      4.38     0.01   262657     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned int, std::allocator<char> const&)
  0.23      4.38     0.01   262656     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> > const&)
  0.23      4.39     0.01   262656     0.00     0.00  void std::_Construct<std::vector<char, std::allocator<char> >, std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> > const&)
  0.23      4.41     0.01     1024     0.01     0.01  seleccion_ruleta(int, double, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >&)
